goos: darwin
goarch: arm64
pkg: github.com/gnolang/gno/gnovm/cmd/calibrate
cpu: Apple M2
BenchmarkAlloc_1-8            	158836329	         7.127 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-8            	168990709	         7.144 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-8            	168818139	         7.091 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-8            	163774147	         7.191 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-8            	169108214	         7.122 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_2-8            	166953240	         7.180 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-8            	167459346	         7.191 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-8            	167501995	         7.207 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-8            	166160406	         7.204 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-8            	166649624	         7.299 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_4-8            	163680780	         7.314 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-8            	163152772	         7.310 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-8            	163354993	         7.331 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-8            	153120410	         7.732 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-8            	159214822	         7.317 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_8-8            	155242188	         7.772 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_8-8            	127779837	         8.206 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_8-8            	146848740	         8.263 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_8-8            	140628014	         8.444 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_8-8            	146137509	         7.910 ns/op	       8 B/op	       1 allocs/op
BenchmarkAlloc_16-8           	100000000	        10.03 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-8           	100000000	        10.04 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-8           	120164605	        10.01 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-8           	100000000	        10.11 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_16-8           	100000000	        10.06 ns/op	      16 B/op	       1 allocs/op
BenchmarkAlloc_32-8           	95982399	        12.14 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-8           	100000000	        12.02 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-8           	95771740	        12.27 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-8           	97565266	        12.17 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_32-8           	99035779	        12.05 ns/op	      32 B/op	       1 allocs/op
BenchmarkAlloc_64-8           	92451111	        13.32 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-8           	91036396	        13.40 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-8           	92214300	        13.32 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-8           	87756453	        13.41 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_64-8           	87875604	        13.33 ns/op	      64 B/op	       1 allocs/op
BenchmarkAlloc_96-8           	72222264	        16.61 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-8           	66216028	        16.42 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-8           	72225884	        20.07 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-8           	68215731	        17.68 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_96-8           	66998463	        18.00 ns/op	      96 B/op	       1 allocs/op
BenchmarkAlloc_112-8          	67410367	        17.94 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-8          	73020091	        17.81 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-8          	66938290	        17.52 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-8          	66958680	        17.93 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_112-8          	64509337	        20.78 ns/op	     112 B/op	       1 allocs/op
BenchmarkAlloc_128-8          	23054773	        54.25 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-8          	21656902	        57.41 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-8          	22947000	        53.37 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-8          	23428386	        50.62 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_128-8          	24204730	        49.28 ns/op	     128 B/op	       1 allocs/op
BenchmarkAlloc_144-8          	61710272	        21.23 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-8          	54581118	        21.38 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-8          	57536134	        25.01 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-8          	55728092	        21.94 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_144-8          	52888190	        23.10 ns/op	     144 B/op	       1 allocs/op
BenchmarkAlloc_192-8          	20746633	        60.97 ns/op	     192 B/op	       1 allocs/op
